participant_id	age	sex	handedness
103	18.32222222	M	R
105	20.70833333	M	R
106	18.82777778	M	R
107	20.01666667	F	R
110	23.5	M	R
111	24.25555556	F	R
112	25.86666667	F	R
113	20.98611111	F	R
114	19.59166667	F	R
115	24.34722222	M	R
116	21.96388889	M	R
118	21.72777778	F	R
120	22.025	F	R
121	18.68333333	F	R
122	20.98055556	M	R
123	18.85277778	F	R
124	19.67777778	M	R
125	21.65	F	R
126	19.5	M	R
127	20.93333333	F	R
128	10.6	M	R
131	8.177777778	M	R
132	14.71666667	M	R
134	9.263888889	F	R
135	10.35277778	F	R
136	17.30277778	F	R
141	16.42222222	F	R
142	16.08055556	M	R
143	13.24722222	M	R
144	11.63055556	F	R
146	11.85555556	M	R
147	11.16388889	F	R
149	10.04166667	M	R
151	14.55	F	R
152	12.30833333	M	R
153	9.766666667	M	R
154	8.322222222	M	R
156	17.68333333	F	R
157	15.78888889	F	R
158	11.51111111	M	R
161	9.938888889	M	R
162	16.58611111	M	R
163	16.23055556	F	R
164	14.16666667	M	R
165	16.61111111	F	R
166	9.733333333	F	R
167	11.12222222	M	R
171	12.46111111	M	R
172	12.71666667	F	R
173	16.40277778	M	R
174	17.45555556	F	R
175	14.26388889	M	R
176	10.49166667	M	R
178	14.06944444	F	R
181	13.68333333	F	R
182	15.87777778	F	R
183	15.40277778	M	R
184	8.277777778	F	R
185	11.67777778	F	R
186	8.672222222	M	R
187	8.022222222	F	R
188	8.888888889	F	R
190	8.291666667	F	R
191	23.59722222	F	R
192	24.73055556	M	R
193	25.19444444	F	R
194	25.11388889	M	R
195	21.68888889	M	R
196	22.40555556	M	R
197	24.00555556	F	R
201	22.31388889	F	R
202	23.49722222	M	R
203	13.72777778	F	R
204	17.06944444	F	R
205	15.35	M	R
207	17.33611111	M	R
212	16.6	M	R
214	16.00555556	M	R
215	12.15833333	F	R
216	12.525	F	R
219	13.925	M	R
220	9.461111111	F	R
221	10.01111111	F	R
223	21.89444444	M	R
224	11.675	M	R
225	15.63055556	F	R
226	14.44166667	F	R
227	14.24444444	M	R
228	10.86388889	F	R
229	13.05833333	F	R
